"id_drugProduct"	"id_drug"
"DRPR-000047"	"DRUG-000276"
"DRPR-000082"	"DRUG-000251"
"DRPR-000223"	"DRUG-009236"
"DRPR-000241"	"DRUG-010997"
"DRPR-000297"	"DRUG-000273"
"DRPR-000413"	"DRUG-002624"
"DRPR-000751"	"DRUG-000017"
"DRPR-000768"	"DRUG-000319"
"DRPR-000845"	"DRUG-011950"
"DRPR-000845"	"DRUG-018021"
"DRPR-000960"	"DRUG-008673"
"DRPR-001063"	"DRUG-000347"
"DRPR-001245"	"DRUG-000286"
"DRPR-001355"	"DRUG-000230"
"DRPR-001482"	"DRUG-016590"
"DRPR-001628"	"DRUG-015207"
"DRPR-001678"	"DRUG-000001"
"DRPR-001679"	"DRUG-008532"
"DRPR-001691"	"DRUG-009261"
"DRPR-001999"	"DRUG-011950"
"DRPR-002138"	"DRUG-000058"
"DRPR-002152"	"DRUG-006689"
"DRPR-002164"	"DRUG-000306"
"DRPR-002205"	"DRUG-009320"
"DRPR-002241"	"DRUG-010593"
"DRPR-002445"	"DRUG-000459"
"DRPR-002583"	"DRUG-000282"
"DRPR-002610"	"DRUG-000345"
"DRPR-002613"	"DRUG-000328"
"DRPR-002622"	"DRUG-000005"
"DRPR-002638"	"DRUG-000463"
